
Grupo,PROMEDIO1,PROMEDIO2,PROMEDIO3,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,Viveconmadre,Viveconpadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,UnionLibre,Viudo,RetiradoCluster,Numgrado,Edad,Hombre,Mujer
4 ,37.091,33.364,35.545,35.727,19,26,16,20,20,0 ,3,1,0,0,0,0,0,1,0,0,1,8,12,1,0
3 ,28.333,29.750,32.583,30.667,32,27,20,24,28,3 ,2,0,0,1,0,0,0,0,1,0,1,11,18,1,0
1 ,36.750,.000,.000,36.750,10,0,0,0,10,1 ,2,0,0,1,0,0,0,0,1,0,1,10,16,0,1
3 ,40.083,39.750,38.917,40.417,5,5,8,5,4,1 ,2,0,0,1,0,0,0,0,1,0,1,9,15,0,1
1 ,27.750,34.417,34.583,32.333,27,21,16,27,25,3 ,1,1,0,0,0,0,1,0,0,0,1,10,16,0,1
3 ,33.500,28.750,28.583,30.250,15,22,24,26,25,2 ,2,1,0,0,0,1,0,0,0,0,1,11,17,0,1
1 ,25.455,25.818,25.800,24.909,31,28,30,29,28,1 ,2,0,0,0,1,0,0,0,1,0,1,8,15,0,1
1 ,34.909,35.364,32.182,33.091,25,22,26,30,27,1 ,2,0,0,0,1,0,0,0,1,0,1,7,14,0,1
1 ,37.091,33.364,35.545,35.727,19,26,16,20,20,0 ,3,1,0,0,0,0,0,1,0,0,1,7,12,1,0
4 ,31.667,27.833,33.833,32.167,25,31,25,26,24,1 ,2,0,0,1,0,0,0,0,1,0,1,10,18,0,1
1 ,34.917,32.083,35.667,34.250,22,26,18,24,25,3 ,3,0,0,1,0,0,0,0,1,0,1,11,16,0,1
4 ,37.917,39.583,39.583,38.667,10,4,5,14,5,2 ,2,1,0,0,0,0,0,0,1,0,1,8,15,0,1
3 ,28.833,30.750,31.000,29.750,29,23,29,1,29,2 ,2,0,0,1,0,1,0,0,0,0,1,11,17,1,0
2 ,36.000,28.500,33.000,34.083,15,29,23,15,25,0 ,2,0,0,1,0,1,0,0,0,0,1,9,15,1,0
2 ,28.563,.000,42.000,28.563,31,0,1,0,31,2 ,2,0,0,1,0,0,0,0,1,0,1,10,15,1,0
3 ,28.417,27.917,14.600,27.333,29,29,32,27,32,2 ,2,1,0,0,0,0,1,0,0,0,1,10,17,1,0
3 ,30.417,32.167,33.500,33.167,29,26,27,17,28,2 ,2,1,0,0,0,0,1,0,0,0,1,9,16,1,0
3 ,42.083,39.917,43.833,42.250,2,4,2,3,3,2 ,2,0,0,1,0,1,0,0,0,0,1,9,13,0,1
3 ,36.333,38.500,36.167,37.333,13,8,10,11,9,2 ,2,0,0,1,0,1,0,0,0,0,1,10,16,1,0
2 ,33.250,28.182,35.250,34.333,20,28,19,17,17,2 ,2,0,0,1,0,1,0,0,0,0,1,9,15,1,0
5 ,29.545,32.182,35.273,32.182,29,21,18,29,26,0 ,3,0,0,1,0,0,0,0,1,0,1,10,16,1,0
5 ,32.417,36.500,31.833,35.000,25,17,22,9,20,2 ,2,0,0,1,0,0,0,0,1,0,1,10,16,1,0
7 ,32.417,36.500,31.833,35.000,25,17,22,9,20,2 ,2,0,0,1,0,0,0,0,1,0,1,9,16,1,0
4 ,32.417,36.500,31.833,35.000,25,17,22,9,20,2 ,2,0,0,1,0,0,0,0,1,0,1,8,16,1,0
4 ,34.909,35.364,32.182,33.091,25,22,26,30,27,1 ,2,0,0,0,1,0,0,0,1,0,1,8,14,0,1
1 ,36.583,32.583,35.583,34.917,16,26,14,14,18,2 ,2,0,1,0,0,0,0,0,1,0,1,10,19,1,0
1 ,36.500,36.000,34.833,35.833,13,9,22,19,16,1 ,2,1,0,0,0,0,0,1,0,0,1,11,15,0,1
3 ,32.500,29.167,26.545,29.583,24,27,28,0,29,0 ,2,1,0,0,0,0,1,0,0,0,1,9,16,1,0
3 ,28.917,30.083,33.250,31.917,23,24,25,15,24,2 ,2,0,0,1,0,1,0,0,0,0,1,9,14,1,0
3 ,31.273,26.455,29.364,29.182,30,30,32,31,27,0 ,3,0,0,1,0,0,0,0,1,0,1,8,17,1,0
3 ,29.000,30.833,31.667,31.167,27,21,28,21,25,2 ,2,0,0,1,0,1,0,0,0,0,1,11,17,0,1
3 ,31.417,30.417,31.250,32.833,32,31,31,13,20,2 ,2,0,0,1,0,0,0,0,1,0,1,9,15,1,0
3 ,37.917,39.583,39.583,38.667,10,4,5,14,5,2 ,2,1,0,0,0,0,0,0,1,0,1,3,15,0,1
3 ,37.364,34.818,33.636,34.455,14,18,21,29,21,3 ,2,1,0,0,0,0,0,0,1,0,1,9,15,0,1
5 ,33.833,36.667,33.667,35.333,18,16,15,16,18,1 ,2,0,0,1,0,1,0,0,0,0,1,10,17,1,0
7 ,33.833,36.667,33.667,35.333,18,16,15,16,18,1 ,2,0,0,1,0,1,0,0,0,0,1,9,17,1,0
1 ,32.583,38.083,37.250,36.417,29,19,15,19,26,3 ,2,0,1,0,0,0,0,0,1,0,1,9,13,1,0
2 ,32.667,.000,.000,32.667,33,0,0,0,33,0 ,2,1,0,0,0,0,0,1,0,0,1,10,17,0,1
2 ,34.583,34.917,34.000,35.250,16,16,23,11,18,0 ,2,1,0,0,0,0,0,1,0,0,1,10,16,0,1
3 ,35.500,37.750,34.286,36.000,16,11,23,32,15,3 ,2,0,0,1,0,0,0,0,1,0,1,11,17,1,0
3 ,40.353,33.143,.000,38.765,4,22,0,0,5,1 ,2,0,0,1,0,1,0,0,0,0,1,10,14,1,0
3 ,30.333,30.583,33.583,31.833,34,30,23,28,22,1 ,2,0,0,1,0,0,0,0,1,0,1,9,17,1,0
4 ,33.833,36.667,33.667,35.333,18,16,15,16,18,1 ,2,0,0,1,0,1,0,0,0,0,1,8,17,1,0
3 ,33.250,30.167,36.083,34.250,20,24,16,18,18,2 ,2,0,0,1,0,1,0,0,0,0,1,9,16,1,0
3 ,30.917,35.083,35.333,34.250,31,24,19,15,21,1 ,2,0,1,0,0,0,1,0,0,0,1,9,16,0,1
4 ,27.583,16.500,.000,27.000,27,30,28,27,30,3 ,2,1,0,0,0,0,1,0,0,0,1,11,18,1,0
4 ,34.417,31.917,29.500,31.250,14,23,25,26,24,1 ,2,0,0,1,0,0,0,0,1,0,1,9,16,1,0
2 ,34.250,31.500,35.250,34.333,17,25,16,18,23,3 ,2,0,0,1,0,0,0,0,1,0,1,10,16,1,0
1 ,33.417,33.417,34.833,34.333,28,34,27,27,29,2 ,2,1,0,0,0,0,0,0,0,0,1,9,16,1,0
3 ,36.750,32.583,34.250,35.083,8,24,19,15,11,1 ,2,0,0,1,0,1,0,0,0,0,1,9,16,1,0
2 ,41.417,37.167,39.417,40.167,6,21,6,4,6,1 ,2,0,0,1,0,1,0,0,0,0,1,9,13,1,0
3 ,34.083,33.167,37.667,35.667,16,16,9,12,16,3 ,2,0,0,1,0,1,0,0,0,0,1,10,14,0,1
3 ,31.833,33.083,32.917,32.833,23,18,22,24,28,1 ,2,0,0,0,1,0,0,1,0,0,1,10,18,0,1
1 ,37.417,39.083,36.833,38.000,17,13,16,17,14,1 ,2,0,0,0,1,0,0,1,0,0,1,9,17,0,1
1 ,33.833,32.167,31.250,32.833,27,23,32,23,28,1 ,2,0,0,0,1,1,0,0,0,0,1,10,16,1,0
3 ,31.833,39.417,34.667,35.250,29,7,22,18,17,3 ,2,0,0,1,0,1,0,0,0,0,1,9,17,1,0
3 ,29.583,33.667,33.583,32.500,36,24,25,22,26,2 ,2,0,0,1,0,0,0,0,1,0,1,11,18,0,1
1 ,32.333,30.250,25.667,29.667,22,29,31,0,29,2 ,2,1,0,0,0,0,1,0,0,0,1,10,18,0,1
1 ,41.706,.000,.000,41.706,2,0,3,0,2,3 ,2,1,0,0,0,0,0,1,0,0,1,12,17,1,0
2 ,35.583,32.917,33.333,34.083,12,21,28,26,24,1 ,2,1,0,0,0,0,0,1,0,0,1,10,18,0,1
1 ,32.583,34.833,35.833,34.917,19,12,15,16,18,1 ,2,1,0,0,0,0,0,1,0,0,1,10,17,0,1
2 ,34.590,35.750,.000,35.470,27,27,0,0,27,2 ,2,1,0,0,0,0,0,1,0,0,1,10,15,1,0
4 ,35.083,36.250,34.833,35.417,14,15,15,17,14,2 ,2,1,0,0,0,0,0,1,0,0,1,10,14,1,0
2 ,29.500,29.750,30.500,28.917,27,28,29,26,26,3 ,2,0,0,1,0,1,0,0,0,0,1,10,18,1,0
2 ,26.412,27.706,.000,27.294,31,30,0,0,31,0 ,2,1,0,0,0,0,0,0,1,0,1,9,15,1,0
2 ,37.333,32.917,37.250,35.583,14,28,15,25,18,1 ,2,0,0,0,1,0,0,0,1,0,1,11,18,1,0
4 ,29.250,31.167,28.250,29.000,24,26,29,30,26,2 ,2,0,0,1,0,0,0,0,1,0,1,10,16,0,1
4 ,30.667,30.583,31.250,31.917,30,29,26,25,25,1 ,3,1,0,0,0,0,0,1,0,0,1,11,18,1,0
2 ,36.083,32.250,34.167,34.500,20,30,29,24,28,1 ,2,0,0,1,0,1,0,0,0,0,1,11,18,1,0
2 ,38.250,32.167,32.583,35.250,9,23,23,14,17,0 ,2,0,0,0,0,0,0,0,0,0,1,10,16,1,0
3 ,31.455,33.091,31.273,31.273,22,21,20,23,22,2 ,2,1,0,0,0,0,1,0,0,0,1,7,15,1,0
4 ,32.000,32.667,29.917,32.667,18,18,22,12,18,2 ,2,0,1,0,0,0,0,0,1,0,1,5,13,1,0
7 ,32.000,32.667,29.917,32.667,18,18,22,12,18,2 ,2,0,1,0,0,0,0,0,1,0,1,9,13,1,0
2 ,32.727,30.182,31.909,31.000,25,25,21,25,23,1 ,2,0,0,1,0,0,0,0,1,0,1,7,13,1,0
2 ,31.917,32.000,33.250,33.667,29,24,26,13,23,1 ,2,1,0,0,0,0,0,1,0,0,1,11,16,1,0
7 ,23.143,.000,.000,23.143,26,1,1,1,26,2 ,2,0,0,1,0,0,0,0,1,0,1,9,16,0,1
3 ,38.400,34.400,34.700,35.800,14,22,21,24,22,3 ,3,0,1,0,0,0,0,1,0,0,1,5,11,1,0
3 ,31.667,29.250,31.333,31.250,28,23,25,23,25,1 ,2,1,0,0,0,0,0,1,0,0,1,9,14,0,1
7 ,30.091,36.818,29.364,30.909,27,8,21,26,20,4 ,2,0,0,1,0,1,0,0,0,0,1,8,15,1,0
6 ,33.750,31.250,36.167,33.500,15,22,11,17,18,1 ,2,1,0,0,0,0,0,1,0,0,1,9,13,0,1
7 ,35.800,36.500,35.300,36.600,18,16,13,9,12,4 ,2,0,0,1,0,0,0,0,1,0,1,6,13,0,1
1 ,32.750,32.083,.000,32.667,15,21,1,1,18,2 ,2,0,0,1,0,0,0,0,1,0,1,9,15,1,0
1 ,38.400,34.400,34.700,35.800,14,22,21,24,22,3 ,3,0,1,0,0,0,0,1,0,0,1,6,11,1,0
7 ,29.917,30.667,31.833,31.250,24,24,21,21,21,1 ,2,0,0,1,0,0,0,0,1,0,1,9,14,1,0
4 ,32.417,31.333,36.750,33.417,25,22,10,20,21,1 ,2,0,0,1,0,1,0,0,0,0,1,11,15,1,0
1 ,35.417,33.500,37.917,36.000,12,24,5,7,10,3 ,2,0,0,1,0,1,0,0,0,0,1,10,16,0,1
5 ,33.500,33.583,27.250,32.083,20,25,25,25,24,2 ,2,0,1,0,0,0,0,1,0,0,1,10,16,1,0
6 ,34.000,33.800,36.000,35.100,20,23,18,18,20,4 ,2,0,0,1,0,0,0,0,1,0,1,5,12,0,1
2 ,30.900,32.500,31.700,32.300,25,20,20,21,19,0 ,2,0,0,0,0,0,0,0,0,0,1,5,12,1,0
6 ,33.300,29.400,33.900,32.000,23,30,27,30,27,0 ,2,0,0,0,0,0,0,0,0,0,1,5,11,1,0
4 ,28.583,28.250,29.750,28.750,25,25,27,24,25,1 ,2,1,0,0,0,0,1,0,0,0,1,7,16,1,0
6 ,37.182,34.545,35.727,35.000,9,17,13,25,15,2 ,2,0,0,1,0,0,0,0,1,0,1,8,15,1,0
1 ,28.182,.000,.000,.000,18,1,1,18,0,2 ,1,1,0,0,0,0,0,1,0,0,1,10,18,0,1
4 ,31.917,31.417,29.000,30.833,21,22,26,1,26,1 ,2,1,0,0,0,0,0,0,1,0,1,5,16,1,0
7 ,31.917,31.417,29.000,30.833,21,22,26,1,26,1 ,2,1,0,0,0,0,0,0,1,0,1,9,16,1,0
7 ,33.909,34.545,35.727,34.182,21,17,12,21,17,1 ,2,1,0,0,0,0,0,0,1,0,1,8,15,1,0
6 ,34.083,32.833,33.917,34.667,19,17,17,13,18,4 ,2,0,0,1,0,1,0,0,0,0,1,9,16,1,0
7 ,26.636,22.000,25.000,24.727,27,29,27,27,27,2 ,2,1,0,0,0,0,0,1,0,0,1,7,12,1,0
4 ,29.333,32.250,33.667,31.833,22,11,15,16,17,3 ,2,1,0,0,0,0,0,0,1,0,1,9,16,0,1
2 ,33.500,30.900,29.800,31.900,19,25,24,22,22,2 ,2,0,0,1,0,1,0,0,0,0,1,5,12,1,0
5 ,37.250,34.917,33.083,34.833,12,17,20,20,19,1 ,2,0,0,1,0,0,0,1,0,0,1,10,16,0,1
4 ,39.083,31.417,33.000,35.583,6,21,25,15,14,1 ,2,1,0,0,0,0,1,0,0,0,1,11,16,0,1
7 ,33.636,36.909,31.364,33.909,22,17,29,18,20,2 ,2,0,0,1,0,0,0,0,1,0,1,8,14,1,0
4 ,29.917,30.667,31.833,31.250,24,24,21,21,21,1 ,2,0,0,1,0,0,0,0,1,0,1,7,14,1,0
4 ,35.333,36.000,34.833,35.250,13,12,13,18,12,3 ,2,1,0,0,0,0,1,0,0,0,1,5,16,0,1
6 ,30.833,33.583,33.833,32.583,23,16,19,20,21,1 ,2,0,0,1,0,1,0,0,0,0,1,9,15,1,0
7 ,34.091,32.091,34.909,33.818,21,22,17,24,20,2 ,2,0,0,1,0,1,0,0,0,0,1,7,14,0,1
2 ,30.667,26.091,23.250,26.417,30,30,33,31,29,3 ,2,1,0,0,0,0,0,1,0,0,1,11,18,1,0
3 ,31.250,30.417,30.917,31.250,23,24,29,25,24,2 ,2,1,0,0,0,0,1,0,0,0,1,11,17,1,0
6 ,32.667,33.333,35.333,32.833,18,17,15,21,20,3 ,2,1,0,0,0,0,0,1,0,0,1,9,15,1,0
1 ,24.273,.000,.000,.000,32,1,1,32,0,1 ,2,1,0,0,0,0,0,1,0,0,1,12,18,1,0
4 ,31.750,35.167,33.583,34.167,20,14,15,14,15,3 ,2,0,0,1,0,0,0,0,1,0,1,5,16,0,1
4 ,31.667,35.083,31.667,33.083,27,21,24,26,28,2 ,2,1,0,0,0,0,0,1,0,0,1,10,15,1,0
7 ,34.917,35.917,32.167,33.500,14,13,20,22,18,2 ,2,0,1,0,0,1,0,0,0,0,1,9,15,0,1
7 ,31.333,32.583,26.583,31.000,23,20,27,22,24,2 ,2,1,0,0,0,0,0,1,0,0,1,9,16,1,0
7 ,28.583,28.250,29.750,28.750,25,25,27,24,25,1 ,2,1,0,0,0,0,1,0,0,0,1,9,16,1,0
1 ,34.182,33.364,22.667,33.455,23,28,33,0,26,1 ,2,0,0,1,0,1,0,0,0,0,1,6,12,1,0
4 ,31.333,32.583,26.583,31.000,23,20,27,22,24,2 ,2,1,0,0,0,0,0,1,0,0,1,5,16,1,0
4 ,34.333,35.250,36.333,35.750,19,14,9,11,11,2 ,2,0,0,1,0,1,0,0,0,0,1,10,16,0,1
2 ,32.583,30.333,31.000,30.917,27,29,24,28,26,2 ,2,0,0,1,0,1,0,0,0,0,1,10,16,1,0
2 ,31.909,34.500,28.500,31.500,27,13,32,28,27,2 ,2,0,1,0,0,0,0,1,0,0,1,10,15,1,0
4 ,34.917,35.917,32.167,33.500,14,13,20,22,18,2 ,2,0,1,0,0,1,0,0,0,0,1,7,15,0,1
5 ,33.833,32.583,30.167,30.750,20,27,25,25,25,3 ,2,0,0,1,0,0,0,0,1,0,1,10,17,0,1
4 ,32.750,33.083,28.833,31.083,25,24,32,31,27,1 ,2,1,0,0,0,0,0,1,0,0,1,8,14,0,1
5 ,32.583,36.667,31.000,33.500,24,16,26,25,27,3 ,2,0,0,1,0,1,0,0,0,0,1,10,16,0,1
4 ,32.833,30.417,34.000,32.833,23,24,23,22,25,1 ,2,0,0,1,0,0,0,0,1,0,1,11,18,0,1
6 ,37.833,43.500,.000,37.833,5,2,25,24,6,3 ,2,1,0,0,0,0,0,1,0,0,1,9,17,1,0
7 ,37.545,37.182,37.545,37.545,10,15,14,7,11,3 ,2,1,0,0,0,0,0,1,0,0,1,8,16,1,0
4 ,31.750,28.250,29.182,29.250,29,29,29,27,30,3 ,2,0,0,1,0,1,0,0,0,0,1,11,17,0,1
7 ,32.583,36.667,31.000,33.500,24,16,26,25,27,3 ,2,0,0,1,0,1,0,0,0,0,1,9,16,0,1
4 ,32.583,36.667,31.000,33.500,24,16,26,25,27,3 ,2,0,0,1,0,1,0,0,0,0,1,8,16,0,1
7 ,37.636,38.273,36.273,37.091,14,9,16,15,13,2 ,2,0,1,0,0,1,0,0,0,0,1,8,15,1,0
2 ,31.273,29.727,34.273,32.727,26,31,19,23,26,0 ,2,0,0,1,0,0,0,0,1,0,1,8,15,1,0
2 ,36.833,35.083,36.333,36.167,10,11,11,21,10,2 ,2,0,0,1,0,1,0,0,0,0,1,10,17,1,0
5 ,34.833,34.167,35.917,35.333,15,21,21,13,16,1 ,2,1,0,0,0,0,0,1,0,0,1,10,15,0,1
3 ,31.000,30.917,32.583,32.167,25,22,18,21,24,2 ,2,0,0,1,0,1,0,0,0,0,1,11,17,0,1
7 ,33.167,35.917,31.500,33.917,20,19,23,20,24,2 ,2,0,0,1,0,0,0,0,1,0,1,9,17,0,1
4 ,34.833,34.167,35.917,35.333,15,21,21,13,16,1 ,2,1,0,0,0,0,0,1,0,0,1,8,15,0,1
4 ,29.917,31.083,31.833,30.750,27,23,28,25,27,2 ,2,1,0,0,0,0,1,0,0,0,1,11,18,1,0
2 ,32.833,31.583,.000,32.500,27,28,0,0,29,1 ,2,0,0,1,0,0,0,1,0,0,1,11,18,1,0
2 ,33.083,27.500,31.500,30.583,23,30,29,29,29,1 ,2,0,0,1,0,0,0,0,1,0,1,10,15,0,1
4 ,36.500,34.000,36.667,35.583,8,23,7,20,12,2 ,2,0,0,1,0,1,0,0,0,0,1,10,17,0,1
4 ,31.917,26.200,.000,31.750,22,29,28,27,26,1 ,2,1,0,0,0,0,0,0,1,0,1,11,17,1,0
1 ,32.364,31.909,33.364,32.818,26,23,24,27,25,0 ,2,0,0,1,0,0,0,0,1,0,1,8,14,1,0
2 ,38.083,35.167,35.583,36.667,8,8,8,11,8,2 ,2,0,0,1,0,1,0,0,0,0,1,9,16,1,0
2 ,36.583,31.833,.000,34.333,8,29,0,0,18,2 ,2,0,1,0,0,1,0,0,0,0,1,11,17,1,0
3 ,33.000,37.250,33.667,34.833,24,16,26,19,19,1 ,2,0,0,1,0,1,0,0,0,0,1,9,14,1,0
2 ,35.583,31.417,32.000,33.333,13,26,26,24,25,0 ,2,0,0,0,0,0,0,0,0,0,1,11,17,0,1
2 ,37.667,34.917,25.250,33.333,14,20,22,0,22,2 ,2,0,0,1,0,1,0,0,0,0,1,12,17,1,0
2 ,36.833,35.667,37.083,36.833,20,19,14,19,18,2 ,2,0,0,1,0,1,0,0,0,0,1,11,16,1,0
1 ,10.000,10.000,.000,10.000,31,31,0,0,32,2 ,1,0,0,1,0,0,1,0,0,0,1,10,16,1,0
6 ,32.364,33.182,29.091,31.455,20,21,27,26,22,1 ,2,1,0,0,0,0,0,1,0,0,1,8,13,0,1
4 ,27.667,28.333,31.750,30.000,25,27,20,24,27,2 ,2,1,0,0,0,0,0,1,0,0,1,11,17,1,0
